"DAV","Dataset","Gene Symbol","Analysis Type","Assay Type","DAV Matrix","Output Image Object","Location","Script"
"Fred-Hutch","MSK sc-RNA-seq","GATA4","Differential Expression (pseudobulk)","sc-RNA-seq","MorPhiC_MSK_KO_effect/outs/differential_expression/genotype_DEGs/GATA4.tsv","GATA4_DE-dotplot.png","MorPhiC_MSK_KO_effect/outs/genotype_plots/GATA4","4_genotype-plots.Rmd"
"Fred-Hutch","MSK sc-RNA-seq","GATA4","UMAP","sc-RNA-seq","MorPhiC_MSK_KO_effect/outs/metadata.csv","GATA4_umap.png","MorPhiC_MSK_KO_effect/outs/genotype_plots/GATA4","4_genotype-plots.Rmd"
"Fred-Hutch","MSK sc-RNA-seq","GATA4het","Cell Type Proportion","sc-RNA-seq","MorPhiC_MSK_KO_effect/outs/cell_type_composition/ct_prop_all.csv","GATA4het_ct-prop.png","MorPhiC_MSK_KO_effect/outs/genotype_plots/GATA4het","4_genotype-plots.Rmd"
"Fred-Hutch","MSK sc-RNA-seq","GATA4het","Differential Expression (pseudobulk)","sc-RNA-seq","MorPhiC_MSK_KO_effect/outs/differential_expression/genotype_DEGs/GATA4het.tsv","GATA4het_nDEG-updown.png","MorPhiC_MSK_KO_effect/outs/genotype_plots/GATA4het","4_genotype-plots.Rmd"
"Fred-Hutch","MSK sc-RNA-seq","GATA4het","Differential Expression (pseudobulk)","sc-RNA-seq","MorPhiC_MSK_KO_effect/outs/differential_expression/genotype_DEGs/GATA4het.tsv","GATA4het_nDEG-total.png","MorPhiC_MSK_KO_effect/outs/genotype_plots/GATA4het","4_genotype-plots.Rmd"
"Fred-Hutch","MSK sc-RNA-seq","GATA4het","Differential Expression (pseudobulk)","sc-RNA-seq","MorPhiC_MSK_KO_effect/outs/differential_expression/genotype_DEGs/GATA4het.tsv","GATA4het_DE-dotplot.png","MorPhiC_MSK_KO_effect/outs/genotype_plots/GATA4het","4_genotype-plots.Rmd"
"Fred-Hutch","MSK sc-RNA-seq","GATA4het","UMAP","sc-RNA-seq","MorPhiC_MSK_KO_effect/outs/metadata.csv","GATA4het_umap.png","MorPhiC_MSK_KO_effect/outs/genotype_plots/GATA4het","4_genotype-plots.Rmd"
"Fred-Hutch","MSK sc-RNA-seq","GATA6","Cell Type Proportion","sc-RNA-seq","MorPhiC_MSK_KO_effect/outs/cell_type_composition/ct_prop_all.csv","GATA6_ct-prop.png","MorPhiC_MSK_KO_effect/outs/genotype_plots/GATA6","4_genotype-plots.Rmd"
"Fred-Hutch","MSK sc-RNA-seq","GATA6","Differential Expression (pseudobulk)","sc-RNA-seq","MorPhiC_MSK_KO_effect/outs/differential_expression/genotype_DEGs/GATA6.tsv","GATA6_nDEG-updown.png","MorPhiC_MSK_KO_effect/outs/genotype_plots/GATA6","4_genotype-plots.Rmd"
"Fred-Hutch","MSK sc-RNA-seq","GATA6","Differential Expression (pseudobulk)","sc-RNA-seq","MorPhiC_MSK_KO_effect/outs/differential_expression/genotype_DEGs/GATA6.tsv","GATA6_nDEG-total.png","MorPhiC_MSK_KO_effect/outs/genotype_plots/GATA6","4_genotype-plots.Rmd"
